ID,t=0,t=9,t=11,t=13,t=15,t=17,t=19
YJL009W,0.078,-0.12300000000000001,0.062,-0.161,0.113,0.205,-8.95
YJL216C,-0.545,-1.5730000000000002,-0.098,-0.268,-6.31,1.234,0.441
YGL184C,-1.3219999999999998,-3.467,-0.051,-0.588,-4.2219999999999995,1.594,1.012
YGR225W,-1.061,-4.479,0.735,0.22,-0.285,2.12,0.627
YGR043C,-0.4,-1.345,-0.282,-0.071,0.379,3.9619999999999997,3.122
YKL217W,-0.47100000000000003,-0.046,0.063,-0.161,0.281,3.613,4.249
YDR398W,0.071,-0.027999999999999997,-0.22399999999999998,-0.855,-0.9990000000000001,-1.933,-5.481
YNL194C,-0.19899999999999998,-0.075,0.126,-0.105,0.8190000000000001,4.147,3.7960000000000003
YGR236C,-0.068,-0.39399999999999996,-0.439,-0.298,-0.53,3.681,3.301
YDL204W,-0.32799999999999996,1.063,-0.62,0.551,0.68,4.234,3.477
YAL054C,-1.07,-0.514,-0.22,-0.012,-0.215,1.7409999999999999,4.239
YIL136W,-0.92,-0.526,0.354,-0.006999999999999999,2.573,3.9139999999999997,2.318
YGR243W,-0.32799999999999996,-0.541,-0.6990000000000001,0.039,-0.073,3.605,3.092
YGR248W,-0.23,-0.504,0.54,0.993,1.972,4.372,2.897
YLR174W,-0.092,-0.386,-1.758,0.34700000000000003,0.32799999999999996,1.6540000000000001,3.7680000000000002
YCR021C,-0.7490000000000001,-0.037000000000000005,1.889,1.6980000000000002,1.4169999999999998,3.906,3.685
YJR095W,-0.755,-0.41,0.89,0.073,0.154,1.834,4.24
YNL036W,-0.008,-1.137,-2.302,-2.043,-2.472,1.33,1.464
YKL026C,-0.131,-0.015,-0.07,0.483,0.878,3.843,3.1910000000000003
YFR015C,-0.595,-0.231,0.525,2.102,2.158,3.517,3.261
YMR206W,-0.966,-1.651,-0.185,-0.254,-1.455,1.871,2.575
YBL049W,-0.541,0.244,0.099,-0.008,-0.632,2.9819999999999998,3.1919999999999997
YGL138C,-1.6740000000000002,-2.258,-0.627,-0.563,-3.66,1.05,0.446
YMR114C,-0.452,0.024,1.182,0.07200000000000001,0.341,4.285,1.676
YLR149C,-0.18600000000000003,-0.107,-0.35600000000000004,0.8959999999999999,0.43799999999999994,3.1719999999999997,3.392
YKR097W,-0.124,-0.13,0.22399999999999998,0.146,0.07400000000000001,0.5529999999999999,4.283
YGR088W,0.218,0.19699999999999998,0.077,0.982,1.393,3.937,3.389
YFL014W,-0.078,0.5,0.561,1.766,2.508,3.716,3.8489999999999998
YLR377C,-0.247,0.057,0.19699999999999998,-0.045,0.266,0.667,4.28
YKL187C,0.051,0.146,0.18899999999999997,0.035,-0.442,2.306,3.8339999999999996
YML128C,-0.023,0.154,1.061,1.999,1.735,3.8280000000000003,3.824
YOR215C,0.188,0.128,0.298,0.9690000000000001,1.517,3.984,3.319
YDR171W,0.17800000000000002,0.27699999999999997,0.33299999999999996,1.1740000000000002,1.295,3.7889999999999997,3.677
YBL015W,-0.049,0.287,-0.066,0.301,0.623,2.9219999999999997,3.7680000000000002
YLR327C,-0.133,-0.21,0.076,1.2429999999999999,1.578,3.568,3.116
YER150W,0.049,0.282,1.1909999999999998,1.8630000000000002,2.101,3.847,3.832
YNL200C,-0.196,0.28,0.36200000000000004,1.5330000000000001,1.855,3.9530000000000003,3.0
